Month,Year,# of cigarettes sold,# of cigarettes produced,# of cigarettes in opening inventory,# of cigarettes in closing inventory
May,2012,"2,023,708","1,993,640","2,589,402","2,608,795"
June,2012,"1,946,163","1,943,445","2,608,795","2,554,699"
July,2012,"1,752,578","1,964,757","2,554,699","2,271,493"
August,2012,"2,198,416","2,093,639","2,271,493","2,313,504"
September,2012,"1,929,044","1,662,497","2,313,504","2,541,152"
October,2012,"2,187,710","1,870,621","2,541,152","2,834,739"
November,2012,"2,093,460","1,668,092","2,834,739","3,216,243"
December,2012,"1,306,312","1,892,325","3,216,243",null
January,2013,"1,492,505","1,577,409",null,null
February,2013,"1,577,591","1,628,581",null,null
March,2013,"1,881,072","1,665,807",null,null
April,2013,"1,973,585","1,877,481",null,null
May,2013,"1,986,489","2,068,125",null,null
June,2013,"1,889,074","1,920,469",null,null
July,2013,"2,181,567","2,134,653",null,null
August,2013,"1,705,405","1,936,411",null,null
September,2013,"1,828,464","1,880,603",null,null
October,2013,"2,070,188r","1,928,384r",null,null
November,2013,"2,080,455","1,622,399",null,null
December,2013,"1,383,787","1,962,962",null,null
January,2014,"1,754,133","1,601,259r",null,null
February,2014,"1,788,694","1,425,039",null,null
March,2014,"1,795,956","1,636,017",null,null
April,2014,"1,901,657","1,646,001",null,null
May,2014,"2,117,545","1,872,175",null,null
June,2014,"1,983,107","1,984,803",null,null
July,2014,"2,068,158","2,073,018",null,null
August,2014,"1,525,337","1,770,111",null,null
September,2014,"1,755,396","1,904,652",null,null
October,2014,"1,794,158","1,771,918",null,null
November,2014,"1,665,171","1,550,970",null,null
December,2014,"1,200,415","1,889,531",null,null
January,2015,"1,562,457","1,362,177",null,null
February,2015,"1,502,702","1,413,596",null,null
March,2015,"1,839,530","1,654,393",null,null
April,2015,"2,070,281","1,695,852",null,null
May,2015,"1,886,848","1,767,155",null,null
June,2015,"1,890,465","2,082,119",null,null
July,2015,"1,878,719","2,036,715",null,null
August,2015,"1,661,583","1,825,219",null,null
September,2015,"1,972,663","1,858,106",null,null
October,2015,"1,866,820","1,696,300",null,null
November,2015,"1,729,625","1,687,443",null,null
December,2015,"1,320,033","1,827,439",null,null
January,2016,"1,582,372","1,549,799r",null,null
February,2016,"1,539,235","1,460,571r",null,null
March,2016,"1,859,628","1,758,898r",null,null
April,2016,"1,902,514","1,637,720",null,null
May,2016,"2,027,894r","2,033,995",null,null
June,2016,"1,927,781","2,033,050",null,null
July,2016,"1,691,443","1,837,192",null,null
August,2016,"1,967,608","2,051,238",null,null
September,2016,"1,952,828r","1,867,634r",null,null
October,2016,"1,874,073r","1,653,817r",null,null
November,2016,"2,172,098","1,871,499",null,null
December,2016,"1,415,311","1,997,700",null,null
January,2017,"1,653,404","1,228,109",null,null
February,2017,"1,604,952","1,376,929",null,null
March,2017,"1,880,772","1,592,091",null,null
April,2017,"1,580,787","1,485,600",null,null
May,2017,"1,935,191r","2,054,875",null,null
June,2017,"1,925,349","1,796,520",null,null
July,2017,"1,673,252","1,787,128",null,null
August,2017,"1,846,273","2,033,892",null,null
September,2017,"1,655,521","1,752,771",null,null
October,2017,"1,970,745","1,763,759",null,null
November,2017,"2,175,761","1,624,214",null,null
December,2017,"1,166,840","1,932,982",null,null
January,2018,"1,548,314A","1,325,425A",null,"2,428,330A"
February,2018,"1,509,441A","1,383,982A","2,428,330A","2,532,735A"
March,2018,"1,850,556A,r","1,667,976A,r","2,532,735A,r","2,656,258A,r"
April,2018,"1,664,500A","1,568,080A","2,656,258A","2,729,107A"
May,2018,"1,822,172A","2,002,748A","2,729,107A",null
June,2018,"1,608,183A","1,785,998A",null,"2,313,523A"
July,2018,"1,831,275A","1,802,864A","2,313,523A",null
August,2018,"1,832,769A","1,999,349A",null,"2,052,182A"
September,2018,"1,677,927A","1,502,671A","2,052,182A",null
October,2018,"2,072,293A","1,712,575A",null,"2,247,421A"
November,2018,"2,067,643A","1,690,928A","2,247,421A",null
December,2018,"1,388,125A","1,645,486A",null,"2,104,486A"
January,2019,"1,840,209A","1,277,868A","2,104,486A",null
February,2019,"1,831,299A","1,272,727A",null,"2,873,923A"
March,2019,"2,066,253A","1,448,145A","2,873,923A",null
April,2019,"1,852,158A","1,543,485A",null,"3,430,198A"
May,2019,"1,833,948A","1,768,760A","3,430,198A",null
June,2019,"1,666,877B","1,559,943B",null,"3,436,156B"
July,2019,"1,763,322A","1,699,265A","3,436,156B",null
August,2019,"1,402,511A","1,735,092A",null,"2,744,401A"
September,2019,"1,920,866A","1,494,682A","2,744,401A",null
October,2019,"1,872,788A","1,590,038A",null,"3,052,711A"
November,2019,"1,816,321A","1,779,303A","3,052,711A",null
