"Tobacco, sales and inventories, monthly production (x 1,000)" 1
"Monthly"
"Table: 16-10-0044-01 (formerly CANSIM 303-0062)"
"Geography: Canada"

"","Production","Total sales","Adjustments of total sales","Opening inventory","Closing inventory"
"","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2"
"Reference period","Canada","Canada","Canada","Canada","Canada"
"","Number",,,,
"November 2005","3,140,783","3,205,976","156,247","5,056,485","5,147,538"
"December 2005","2,654,662","3,441,805","-356,462","5,147,538","4,003,933"
"January 2006","2,302,406","2,243,835","x","4,003,933","4,081,505"
"February 2006","2,778,209","2,479,568","x","4,081,505","3,951,096"
"March 2006","2,499,460","2,343,905","x","3,951,096","3,860,410"
"April 2006","2,280,742","2,179,266","x","3,860,410","3,442,773"
"May 2006","2,160,048","2,570,828","x","3,442,773","2,906,337"
"June 2006","2,334,257","2,447,757","x","2,906,337","2,208,923"
"July 2006","1,799,850","2,191,462","x","2,208,923","1,535,384"
"August 2006","1,925,677","2,026,782","x","1,535,384","1,414,015"
"September 2006","1,891,155","1,659,780","x","1,414,015","1,630,026"
"October 2006","1,992,399","1,908,206","x","1,630,026","1,692,773"
"November 2006","2,081,538","1,628,408","x","1,692,773","2,125,874"
"December 2006","1,098,942","1,632,174","x","2,125,874","1,544,275"
"January 2007","1,340,301","1,299,789","x","1,544,275","1,582,501"
"February 2007","1,335,121","1,176,032","x","1,582,501","1,699,833"
"March 2007","1,111,453","1,078,460","x","1,699,832","1,711,171"
"April 2007","1,538,435","1,567,359","x","1,711,171","1,664,292"
"May 2007","1,951,655","1,721,670","x","1,664,292","1,870,710"
"June 2007","1,748,191","1,491,889","x","1,870,710","2,101,503"
"July 2007","1,215,844","1,696,198","x","2,101,503","1,609,126"
"August 2007","1,593,183","1,543,894","x","1,609,126","1,625,418"
"September 2007","1,405,175","1,318,284","x","1,625,418","1,693,406"
"October 2007","1,559,976","1,579,999","x","1,693,406","1,654,554"
"November 2007","1,785,177","1,420,338","x","1,654,554","2,008,630"
"December 2007","1,187,291","1,651,799","x","2,008,630","1,519,227"
"January 2008","1,461,478","1,272,531","x","1,519,227","1,733,269"
"February 2008","1,330,264","1,238,644","x","1,733,269","1,812,677"
"March 2008","1,443,605","1,313,921","x","1,812,677","1,937,811"
"April 2008","1,715,296","1,611,215","x","1,937,811","2,000,555"
"May 2008","1,912,013","1,597,972","x","2,000,555","2,286,667"
"June 2008","1,705,120","1,614,044","x","2,286,667","2,355,633"
"July 2008","1,270,621","1,680,543","x","2,355,633","1,905,900"
"August 2008","1,396,651","1,509,406","x","1,905,900","1,788,002"
"September 2008","1,883,097","1,571,728","x","1,788,002","2,066,968"
"October 2008","1,775,924","1,693,434","x","2,066,968","2,141,471"
"November 2008","1,672,566","1,309,710","x","2,141,471","2,468,104"
"December 2008","1,056,168","1,720,482","x","2,468,104","1,791,114"
"January 2009","1,581,209","1,320,020","x","1,791,114","2,044,644"
"February 2009","1,409,088","1,467,071","x","2,044,644","1,976,238"
"March 2009","1,660,612","1,874,764","x","1,976,238","1,712,794"
"April 2009","1,706,208","1,464,744","x","1,712,794","1,924,711"
"May 2009","1,763,390","1,467,612","x","1,924,711","2,181,773"
"June 2009","1,897,136","1,763,945","x","2,181,773","2,311,914"
"July 2009","1,186,496","1,744,863","x","2,311,914","1,731,775"
"August 2009","1,608,292","1,779,045","x","1,731,775","1,547,856"
"September 2009","2,049,342","1,980,274","x","1,547,856","1,613,938"
"October 2009","2,132,535","1,783,358","x","1,613,938","1,937,512"
"November 2009","2,177,225","1,764,617","x","1,937,512","2,361,825"
"December 2009","1,347,957","1,838,923","x","2,361,825","1,755,646"
"January 2010","1,748,304","1,691,018","x","1,755,646","1,804,478"
"February 2010","1,823,877","1,459,973","x","1,804,478","2,160,125"
"March 2010","2,084,835","2,203,580","x","2,160,125","2,022,169"
"April 2010","2,097,143","1,907,087","x","2,022,169","2,186,752"
"May 2010","1,992,203","1,881,017","x","2,186,752","2,264,513"
"June 2010","2,636,636","2,513,228","x","2,264,513","2,371,159"
"July 2010","1,856,695","1,934,300","x","2,371,159","2,271,548"
"August 2010","2,048,491","1,995,493","x","2,271,548","2,297,839"
"September 2010","1,937,091","1,811,240","x","2,297,839","2,402,958"
"October 2010","1,791,801","1,709,285","x","2,402,958","2,492,483"
"November 2010","1,930,908","1,697,942","x","2,492,483","2,706,769"
"December 2010","1,429,117","2,128,112","x","2,706,769","1,984,000"
"January 2011","1,832,250","1,551,233","x","1,984,000","2,254,017"
"February 2011","1,629,084r","1,607,685r","x","2,254,017","2,265,778r"
"March 2011","1,973,125","1,729,115","x","2,265,778","2,469,713"
"April 2011","1,553,652","1,824,399","x","2,469,713","2,181,023"
"May 2011","1,959,661","2,154,743","x","2,181,023","1,965,024"
"June 2011","2,213,079","1,961,032","x","1,965,024","2,202,013"
