Month,month_year,Year,cigarettes_sold_num,cigarettes_produced_num,opening_inventory,closing_inventory
December,December-01-2011,2011,1606296,1786556,2680480,2455781
January,January-01-2012,2012,1591432,1599729,2455781,2444891
February,February-01-2012,2012,1628309,1631452,2444891,2427382
March,March-01-2012,2012,1971517,1867846,2427382,2499510
April,April-01-2012,2012,1677160,1545828,2499510,2589402
May,May-01-2012,2012,2023708,1993640,2589402,2608795
June,June-01-2012,2012,1946163,1943445,2608795,2554699
July,July-01-2012,2012,1752578,1964757,2554699,2271493
August,August-01-2012,2012,2198416,2093639,2271493,2313504
September,September-01-2012,2012,1929044,1662497,2313504,2541152
October,October-01-2012,2012,2187710,1870621,2541152,2834739
November,November-01-2012,2012,2093460,1668092,2834739,3216243
December,December-01-2012,2012,1306312,1892325,3216243,
January,January-01-2013,2013,1492505,1577409,,
February,February-01-2013,2013,1577591,1628581,,
March,March-01-2013,2013,1881072,1665807,,
April,April-01-2013,2013,1973585,1877481,,
May,May-01-2013,2013,1986489,2068125,,
June,June-01-2013,2013,1889074,1920469,,
July,July-01-2013,2013,2181567,2134653,,
August,August-01-2013,2013,1705405,1936411,,
September,September-01-2013,2013,1828464,1880603,,
October,October-01-2013,2013,2070188,1928384,,
November,November-01-2013,2013,2080455,1622399,,
December,December-01-2013,2013,1383787,1962962,,
January,January-01-2014,2014,1754133,1601259,,
February,February-01-2014,2014,1788694,1425039,,
March,March-01-2014,2014,1795956,1636017,,
April,April-01-2014,2014,1901657,1646001,,
May,May-01-2014,2014,2117545,1872175,,
June,June-01-2014,2014,1983107,1984803,,
July,July-01-2014,2014,2068158,2073018,,
August,August-01-2014,2014,1525337,1770111,,
September,September-01-2014,2014,1755396,1904652,,
October,October-01-2014,2014,1794158,1771918,,
November,November-01-2014,2014,1665171,1550970,,
December,December-01-2014,2014,1200415,1889531,,
January,January-01-2015,2015,1562457,1362177,,
February,February-01-2015,2015,1502702,1413596,,
March,March-01-2015,2015,1839530,1654393,,
April,April-01-2015,2015,2070281,1695852,,
May,May-01-2015,2015,1886848,1767155,,
June,June-01-2015,2015,1890465,2082119,,
July,July-01-2015,2015,1878719,2036715,,
August,August-01-2015,2015,1661583,1825219,,
September,September-01-2015,2015,1972663,1858106,,
October,October-01-2015,2015,1866820,1696300,,
November,November-01-2015,2015,1729625,1687443,,
December,December-01-2015,2015,1320033,1827439,,
January,January-01-2016,2016,1582372,1549799,,
February,February-01-2016,2016,1539235,1460571,,
March,March-01-2016,2016,1859628,1758898,,
April,April-01-2016,2016,1902514,1637720,,
May,May-01-2016,2016,2027894,2033995,,
June,June-01-2016,2016,1927781,2033050,,
July,July-01-2016,2016,1691443,1837192,,
August,August-01-2016,2016,1967608,2051238,,
September,September-01-2016,2016,1952828,1867634,,
October,October-01-2016,2016,1874073,1653817,,
November,November-01-2016,2016,2172098,1871499,,
December,December-01-2016,2016,1415311,1997700,,
January,January-01-2017,2017,1653404,1228109,,
February,February-01-2017,2017,1604952,1376929,,
March,March-01-2017,2017,1880772,1592091,,
April,April-01-2017,2017,1580787,1485600,,
May,May-01-2017,2017,1935191,2054875,,
June,June-01-2017,2017,1925349,1796520,,
July,July-01-2017,2017,1673252,1787128,,
August,August-01-2017,2017,1846273,2033892,,
September,September-01-2017,2017,1655521,1752771,,
October,October-01-2017,2017,1970745,1763759,,
November,November-01-2017,2017,2175761,1624214,,
December,December-01-2017,2017,1166840,1932982,,
January,January-01-2018,2018,1548314,1325425,,2428330
February,February-01-2018,2018,1509441,1383982,2428330,2532735
March,March-01-2018,2018,1850556,1667976,2532735,2656258
April,April-01-2018,2018,1664500,1568080,2656258,2729107
May,May-01-2018,2018,1822172,2002748,2729107,
June,June-01-2018,2018,1608183,1785998,,2313523
July,July-01-2018,2018,1831275,1802864,2313523,
August,August-01-2018,2018,1832769,1999349,,2052182
September,September-01-2018,2018,1677927,1502671,2052182,
October,October-01-2018,2018,2072293,1712575,,2247421
November,November-01-2018,2018,2067643,1690928,2247421,
December,December-01-2018,2018,1388125,1645486,,2104486
January,January-01-2019,2019,1840209,1277868,2104486,
February,February-01-2019,2019,1831299,1272727,,2873923
March,March-01-2019,2019,2066253,1448145,2873923,
April,April-01-2019,2019,1852158,1543485,,3430198
May,May-01-2019,2019,1833948,1768760,3430198,
June,June-01-2019,2019,1666877,1559943,,3436156
July,July-01-2019,2019,1763322,1699265,3436156,
August,August-01-2019,2019,1402511,1735092,,2744401
September,September-01-2019,2019,1920866,1494682,2744401,
October,October-01-2019,2019,1872788,1590038,,3052711
November,November-01-2019,2019,1816321,1779303,3052711,
